Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
ANFS 313, Food Safety and Public Policy,15901,3,20,9,11, 12:00, 03:00, M, ML SCI,357, Donnelly C," Prerequisites: NFS 203; Senior,  Graduate Student or Instructor  permission","ANIMAL,--NUTRITION--&--FOOD--SCI",Spring 2016
ANPS 019, Ugr Hum Anatomy & Physiology,90004,4,350,256, 84*XL, TBA, TBA,, ONLINE, COURSE, Black E  Hernan A," Preregistration limited to AT, BIOM,  CSD, DIET, DNFS, EMS, EXSC, MLS, NFS,  NMT, PE, MRS, PRNU, and RADT majors  ONLY. Major restrictions lifted after  July 1st. Degree students ONLY even  after major restrictions lifted. CDE  students should register for ANPS 019  OR1. Final Exam will be held on Wed 12/  9 at 7:30 PM",ANATOMY/PHYSIOLOGY,Fall 2020
ANPS 020, Ugr Hum Anatomy & Physiology,10391,4,250,240, 1*XL, 12:00  TBA  05:30  05:30  05:30, 12:50  TBA  07:30  07:30  07:30, M W F  M  M  M, GIVN E  ONLINE  ML SCI  ML SCI  ML SCI, E131  SEE NOTES  235  235  235, Black E," Common hour exams are held Mondays: (2/  10, 3/2, 4/6) from 5:30-7:30; AT, BIOM,  CSD, DIET, DNFS, EMS, HSCI, MLS, NFS,  NMT, PE, MRS, PRNU, RADT, EXSC Majors  only until Dec. 1st, Please contact  Ellen Black (ellen.e.black@med.uvm.edu)  with any questions. Class meets 3x a  week with online lab comprising 4th  credit; Degree students only even after  level restrictions removed; CDE  students register for ANPS 020 ZRA;  Prereq: ANPS 019",ANATOMY/PHYSIOLOGY,Spring 2020
ANPS 095, Introduction Medical Imaging,15653,3,35,21,14, 01:15, 02:30, T R, VOTEY,367, Watts R  Walsh R  DeStigter K, Open to Degree and CDE students,ANATOMY/PHYSIOLOGY,Spring 2017
ANPS 096," Healthy Brains, Healthy Bodies",15840,3,250,148,102, 03:30, 04:45, M W, GIVN E, E131, Hudziak J,,ANATOMY/PHYSIOLOGY,Spring 2016
ANTH 010, Careers with Anthropology,15399,1,25,11,14, TBA, TBA,, ONLINE, COURSE, Dickinson J, Winter Session Online Course; 12/28/15  - 1/15/16; Open to both CDE and Degree  students; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements.,ANTHROPOLOGY,Spring 2016
ANTH 014, Languages of the World,95971,3,25,24, -1*XL, TBA, TBA,, ONLINE, COURSE, Manetta E, Cross listed with LING 014 OL1; Total  combined enrollment = 20,ANTHROPOLOGY,Fall 2020
ANTH 015, Writing Systems,95507,3,60,35, 7*XL, 01:10, 02:00, M W F, LAFAYE, L403, Cook T, Open to Degree and CDE students; Cross  listed with LING 088 A total combined  enrollment = 60,ANTHROPOLOGY,Fall 2019
ANTH 021, D2:SU: Cultural Anthropology,95049,3,167,159, 8*XL, 09:40, 10:30, M W F, BLLNGS, LH, Vivanco L, Degree students only even after level  restrictions removed; CDE students  register for ANTH 021 ZRA,ANTHROPOLOGY,Fall 2020
ANTH 024, D2:SU: Prehistoric Archaeology,92435,3,162,144, 18*XL, 04:25, 05:40, T R, IRA CH, I201, Brouwer Burg M, Degree students only even after level  restrictions removed; CDE students  register for ANTH 024 ZRA,ANTHROPOLOGY,Fall 2020
ANTH 026, D2:Biological Anthropology,13112,3,183,174,9, 01:15, 02:30, T R, FLEMIN,101, Blom D, Open to Degree and CDE students,ANTHROPOLOGY,Spring 2020
ANTH 028, D2: Linguistic Anthropology,13113,3,174,168,6, 03:30, 04:45, M W, FLEMIN,101, Hale M, Open to Degree and CDE students,ANTHROPOLOGY,Spring 2020
ANTH 059, SSS:D2:SU: Cultr & Environment,95363,3,28,24,4, 01:10, 02:00, M W F, L/L CM,315, Vivanco L, Social Science Scholars only; CAS first  time first year students only  Instructor Permission only,ANTHROPOLOGY,Fall 2020
