Course, CRN, Comments, Department, Last Taught
ANFS 313, 15901, Prerequisites: NFS 203; Senior, Graduate Student or Instructor  permission, ANIMAL, --NUTRITION--&--FOOD--SCI, Spring 2016
ANFS 395, 15416, Grad student standing or instructor  permission., ANIMAL, --NUTRITION--&--FOOD--SCI, Spring 2017
ANFS 491, 91578, Graduate standing only, ANIMAL, --NUTRITION--&--FOOD--SCI, Fall 2020
ANNB 192, 94531, Undergraduate student work on  individual or small team research  projects under the supervision of a  faculty member, for which credit is  awarded. Prerequisite: Department  permission, ANATOMY--&--NEUROBIOLOGY, Fall 2018
ANNB 198, 93035, Instructor permission required; Contact  instructor for more information, ANATOMY--&--NEUROBIOLOGY, Fall 2020
ANPS 019, 90004, Preregistration limited to AT, BIOM, CSD, DIET, DNFS, EMS, EXSC, MLS, NFS, NMT, PE, MRS, PRNU, and RADT majors  ONLY. Major restrictions lifted after  July 1st. Degree students ONLY even  after major restrictions lifted. CDE  students should register for ANPS 019  OR1. Final Exam will be held on Wed 12/  9 at 7:30 PM, ANATOMY/PHYSIOLOGY, Fall 2020
ANPS 020, 10391, Common hour exams are held Mondays: (2/  10, 3/2, 4/6) from 5:30-7:30; AT, BIOM, CSD, DIET, DNFS, EMS, HSCI, MLS, NFS, NMT, PE, MRS, PRNU, RADT, EXSC Majors  only until Dec. 1st, Please contact  Ellen Black (ellen.e.black@med.uvm.edu)  with any questions. Class meets 3x a  week with online lab comprising 4th  credit; Degree students only even after  level restrictions removed; CDE  students register for ANPS 020 ZRA;  Prereq: ANPS 019, ANATOMY/PHYSIOLOGY, Spring 2020
ANPS 095, 15653, Open to Degree and CDE students, ANATOMY/PHYSIOLOGY, Spring 2017
ANPS 096, 15840, No Requirement Information Given, ANATOMY/PHYSIOLOGY, Spring 2016
ANPS 193, 16067, This course is for teaching assistants  in ANPS 096 A, 096 B, ANPS 195 A, ANATOMY/PHYSIOLOGY, Spring 2016
ANTH 010, 15399, Winter Session Online Course; 12/28/15  - 1/15/16; Open to both CDE and Degree  students; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements., ANTHROPOLOGY, Spring 2016
ANTH 014, 95971, Cross listed with LING 014 OL1; Total  combined enrollment = 20, ANTHROPOLOGY, Fall 2020
ANTH 015, 95507, Open to Degree and CDE students; Cross  listed with LING 088 A total combined  enrollment = 60, ANTHROPOLOGY, Fall 2019
ANTH 021, 95049, Degree students only even after level  restrictions removed; CDE students  register for ANTH 021 ZRA, ANTHROPOLOGY, Fall 2020
ANTH 024, 92435, Degree students only even after level  restrictions removed; CDE students  register for ANTH 024 ZRA, ANTHROPOLOGY, Fall 2020
ANTH 026, 13112, Open to Degree and CDE students, ANTHROPOLOGY, Spring 2020
ANTH 028, 13113, Open to Degree and CDE students, ANTHROPOLOGY, Spring 2020
ANTH 059, 95363, Social Science Scholars only; CAS first  time first year students only  Instructor Permission only, ANTHROPOLOGY, Fall 2020
ANTH 085, 14679, Open to degree and CDE students, ANTHROPOLOGY, Spring 2019
ANTH 089, 93790, Degree students only even after level  restrictions removed; CDE students  register for ANTH 089 ZRB; Cross listed  with HSOC 089; Total combined  enrollment = 140, ANTHROPOLOGY, Fall 2020
ANTH 095, 95333, CAS first-time, first-year students  only, ANTHROPOLOGY, Fall 2020
ANTH 096, 15464, No Requirement Information Given, AFRICAN--STUDIES, Spring 2019
ANTH 102, 14750, Prereq enforced by the system: ANTH  021, ANTHROPOLOGY, Spring 2016
ANTH 103, 14746, Prereqs enforced by the systnem: ANTH  21 or by instructor permission, ANTHROPOLOGY, Spring 2018
ANTH 104, 15221, Winter Session Online Course: 12/26/17  - 1/12/18; Open to both CDE and Degree  students; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements., ANTHROPOLOGY, Spring 2018
ANTH 105, 12249, Prereqs: ANTH 021, 024, 026, or 028  ANTH majors only; Class will meet every  other week, ANTHROPOLOGY, Spring 2020
ANTH 106, 14680, Prereqs enforced by the system: ANTH 21  or 24, ANTHROPOLOGY, Spring 2019
ANTH 112, 95042, Preqs enforced by the system: LING 080  or ANTH 028; Cross-listed with: LING  166 A Total combined enrollment = 40, ANTHROPOLOGY, Fall 2020
ANTH 113, 94215, Prereqs enforced by the system: ANTH  028 or LING 080 or by Instructor  Permission; Cross listed with LING 163  A, ANTHROPOLOGY, Fall 2018
ANTH 124, 95972, Prereqs enforced by the system: ANTH  021; Degree Completion Students;  Instructor permission required, ANTHROPOLOGY, Fall 2020
ANTH 135, 14681, Prereqs enforced by the system: ANTH 24, ANTHROPOLOGY, Spring 2019
ANTH 136, 14999, Prereqs enforced by the system: ANTH  024., ANTHROPOLOGY, Spring 2020
ANTH 140, 95807, Prereqs enforced by the system: ANTH  021 or ANTH 026, ANTHROPOLOGY, Fall 2020
ANTH 141, 95609, Prereqs enforced by the system: ANTH 21  or 24 or 26 or ANTH 28 or by instructor  permission, ANTHROPOLOGY, Fall 2017
ANTH 142, 13019, Prereqs enforced by the system: ANTH  028 or LING 080; Cross listed with LING  166, ANTHROPOLOGY, Spring 2017
ANTH 152, 94749, No Requirement Information Given, ANTHROPOLOGY, Fall 2016
ANTH 160, 15090, Prerequisite: ANTH 021 or 3 credits in  a social science., ANTHROPOLOGY, Spring 2020
ANTH 164, 14683, Prereqs enforced by the system: ANTH  021 or 024; Cross listed with VS 196, ANTHROPOLOGY, Spring 2019
ANTH 173, 95960, ANTH majors only; Cross listed with  HSCI 103 A, HSOC 103 A; Total combined  enrollment = 65, ANTHROPOLOGY, Fall 2020
ANTH 174, 93792, Prereqs enforced by the system: ANTH  021 or ANTH 089 or three hours of SOC;  Cross listed with SOC 155 A Total  combined enrollment = 66; Service  Learning, ANTHROPOLOGY, Fall 2020
ANTH 178, 95475, Prereqs enforced by the system: 028 or  LING 080; Cross listed with LING 178 A  and LING 295 A; total combined  enrollment = 40, ANTHROPOLOGY, Fall 2019
ANTH 179, 94795, Prereqs enforced by the system: ANTH  021, 023, or 024; or with Instructor  Permission, ANTHROPOLOGY, Fall 2018
ANTH 184, 14551, Prereq enforced by the system: ANTH 021, ANTHROPOLOGY, Spring 2017
ANTH 187, 15453, Prerequisite: Three hours in ANTH or  SOC cross-listed with CRES 196 and SOC  119 total combined enrollment = 43, ANTHROPOLOGY, Spring 2019
ANTH 190, 15649, Instructor permission required LASP-SSS  students only., ANTHROPOLOGY, Spring 2020
ANTH 191, 92437, Instructor permission required, ANTHROPOLOGY, Fall 2020
ANTH 192, 92770, Instructor permission required, ANTHROPOLOGY, Fall 2020
ANTH 193, 92772, Credits 1-18; Instructor permission  required, ANTHROPOLOGY, Fall 2020
ANTH 195, 95808, Prerequisite: ANTH 021 or ANTH 024, ANTHROPOLOGY, Fall 2020
ANTH 196, 15465, Cross-listed with GSWS 196 B and GEOG  186 A; Minimum Sophomore standing total  combined enrollment = 25, ANTHROPOLOGY, Spring 2019
ANTH 198, 12778, Instructor Permission Only, ANTHROPOLOGY, Spring 2019
ANTH 201, 12394, Permission Only, ANTHROPOLOGY, Spring 2016
ANTH 205, 92860, Prerequisites: Minimum Junior standing  ANTH mjrs; and any three credit 200-  level ANTH course; Classes will meet:  Thursdays- 9/03, 9/17, 10/01, 10/15, 10/  29, 11/12, 11/26, ANTHROPOLOGY, Fall 2020
ANTH 209, 14557, Prereqs enforced by the system: ANTH  024 and one 100-level ANTH course; or  by instructor permission, ANTHROPOLOGY, Spring 2017
ANTH 210, 14993, Prereqs enforced by the system: ANTH  024 or HP 201 or HST 121, HST 122, or  HST 149, or HP 201; or graduate  standing in Historic Preservation  Program., ANTHROPOLOGY, Spring 2020
ANTH 240, 95044, Prereqs enforced by the system: ANTH  024, ANTH 026, one 100-level  Anthropology course in archaeology or  biological anthropology; Or Instructor  permission required; Must register for  ANTH 240 lab A01-A02, ANTHROPOLOGY, Fall 2020
ANTH 242, 95642, Prerequisites: BCOR 101 or (ANTH 026  and one 100-level Anthropology course);  Minimum Junior standing Cross listed  with: BIOL 242 A total combined  enrollment = 16, ANTHROPOLOGY, Fall 2019
ANTH 245, 13564, Prereqs enforced by the system: ANTH  024 and one 100 level Anthropology  Course, or Instructor Permission, ANTHROPOLOGY, Spring 2020
ANTH 250, 14685, Prereqs: ANTH majors and minors only;  Minimum sophomore standing; 1 100-level  Anthro class, or instructor permission, ANTHROPOLOGY, Spring 2019
ANTH 283, 14755, Prereqs enforced by the system: ANTH  021 and 1 100 level ANTH course; or by  instructor permission, ANTHROPOLOGY, Spring 2018
ANTH 285, 14686, Prereqs enforced by the system: ANTH  021, ANTHROPOLOGY, Spring 2019
ANTH 288, 14995, Prereqs enforced by the system: ANTH  021 or 026 or 089 and ANTH 173 or 174, ANTHROPOLOGY, Spring 2020
ANTH 290, 94850, Prereqs enforced by the system: Twelve  hours of Anthropology, ANTHROPOLOGY, Fall 2019
ANTH 292, 92773, Instructor permission required, ANTHROPOLOGY, Fall 2020
ANTH 293, 92771, Available for 1-18 credits; with  Instructor permission, ANTHROPOLOGY, Fall 2020
ANTH 295, 95288, Cross listed with FS 345 A; Prequisite:  ANTH 21 and one 100 level ANTH course, ANTHROPOLOGY, Fall 2020
ANTH 296, 14562, Prereqs enforced by the system: ANTH  021 and one 100 level course; Minimum  junior standing, ANTHROPOLOGY, Spring 2017
ANTH 298, 92769, Prereqs: Minimum Junior standing;  Instructor permission required, ANTHROPOLOGY, Fall 2020
ARBC 001, 91279, No Requirement Information Given, AFRICAN--STUDIES, Fall 2016
ARBC 002, 10961, No Requirement Information Given, AFRICAN--STUDIES, Spring 2017
ARBC 051, 91281, No Requirement Information Given, AFRICAN--STUDIES, Fall 2016
ARBC 052, 10963, Prereq enforced by the system: ARBC 051;  Open to Degree and CDE students, ARABIC, Spring 2017
ARBC 095, 96077, Cross listed w/ LING 084 A, ARABIC, Fall 2016
ARBC 195, 14732, Open to degree and CDE students, ARABIC, Spring 2017
ARTH 005, 96342, Open to Degree and CDE students, ART--HISTORY, Fall 2020
ARTH 006, 90308, Degree students only even after level  restrictions removed; CDE students  enroll in ARTH 006 ZRA, ART--HISTORY, Fall 2020
ARTH 008, 11354, Open to degree and CDE students, ART--HISTORY, Spring 2019
ARTH 095, 15595, Winter Session Online Course; 12/28/15  - 1/15/16; Open to both CDE and Degree  students; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements., ART--HISTORY, Spring 2016
ARTH 096, 95316, CAS first-time, first-year students  only, ART--HISTORY, Fall 2019
ARTH 140, 92143, Prereqs enforced by the system: ARTH  006 or FTS 007 or 008, ART--HISTORY, Fall 2017
ARTH 146, 15199, Prerequisite: ARTH 005, ART--HISTORY, Spring 2019
ARTH 148, 14923, Prereqs enforced by the system: ARTH  005, ART--HISTORY, Spring 2020
ARTH 155, 94880, Prereqs enforced by the system: ARTH  005, ART--HISTORY, Fall 2017
ARTH 158, 15385, Prereq: ARTH 006, ART--HISTORY, Spring 2020
ARTH 163, 95789, Prereqs: ARTH 005 or ARTH 006, ART--HISTORY, Fall 2019
ARTH 165, 14371, Prereqs enforced by the system: ARTH  006, ART--HISTORY, Spring 2019
ARTH 170, 96334, Prerequisite: ARTH 006 or FTS 007 or  FTS 008 or FTS 010, ART--HISTORY, Fall 2020
ARTH 174, 95363, Prereqs enforced by the system: ARTH  006 or FTS 007 or 008 or FTS 010, ART--HISTORY, Fall 2018
ARTH 178, 15710, Prereqs enforced by the system: ARTH  006 or FTS 007 or FTS 008 or FTS 010;  or instructor permission, ART--HISTORY, Spring 2018
ARTH 179, 95422, Prereqs enforced by the system: ARTH  006 or FTS 007 or 008 or FTS 010, ART--HISTORY, Fall 2017
ARTH 184, 95242, Prereqs enforced by the system: ARTH  005 or 006 or 008 or REL 021, ART--HISTORY, Fall 2019
ARTH 185, 15744, Prereqs enforced by the system: ARTH  005 or 006 or 008 or HST 151 or REL 021  or REL 132 or 141, ART--HISTORY, Spring 2019
ARTH 186, 95243, Prereqs: ARTH 005 or ARTH 006 or REL  021, ART--HISTORY, Fall 2019
